"edge_id","from_metric","to_ticker","side","edge_type","hops","cert_tier","cert_method","tradable_score","warning_score","is_key","evidence","status","notes","chain"
"e_backlog_nbis","m_nbis_backlog","NBIS","self","E1_self","0","T2","合同质量判读 + 真值对账","—","—","★","电话会 P2","testing","基准，非信号",""
"e_power_nbis","m_nbis_capacity","NBIS","supply","E2_supplier","1","T2","结构 + 上电进度真值对账","~0.4","~0.2","★★★","电话会目标（P2）","testing","关键可观测量：延期 = 收入递延；假设 B4",""
"e_optics_nbis","m_cn_optics_zte","NBIS","supply","E2_supplier","3","T1","lead-lag / Granger vs hyperscaler capex（NBIS 点少借代理）","0.32","0.16","★★★","回测 id 待建","testing","赛道级 beta；假设 C3 / C4；lead 18d（B1）","全球 AI 集群在建强度 → neocloud 扩张环境"
"e_labfund_nbis","m_lab_funding_reflection","NBIS","demand","E3_customer","2","T2","结构 + 真值对账 + 敏感性","0.10","0.77","★★★","Reflection 2025-10 融 $2B → 2026-07 签 NBIS $1B 算力（已证一次）","testing","B3 calibrating；命中 NBIS 分析点②；禁止回归自己","lab 算力采购力"
"e_capability_nbis","m_train_compute_epoch","NBIS","demand","E3_customer","3","T3","方向，不可回归","~0.05","~0.4","★★","只 watchlist","testing","永不据此定仓位","推理 / 训练需求 → lab 算力采购"
"e_token_nbis","m_token_usage","NBIS","demand","E3_customer","2","T2/T3 待定","待设计","—","—","★★","—","testing","doc25：可交易 / 方向","推理需求"
"e_export_nbis","m_export_ctrl_bis","NBIS","regime","E5_theme","2","T2","事件研究（BIS 规则 → NVIDIA 中国收入 → 算力供给）","~0.2","~0.4","★★★","BIS 2026 H200 案","testing","判读 D","GPU 供给 / 成本"
"e_power_reg_nbis","m_dc_power_iea","NBIS","regime","E5_theme","2","T2","结构（电力约束上电节奏）","~0.2","~0.3","★★★","IEA","testing","","数据中心用电审批"
"e_adoption_rbrk","m_enterprise_adoption","RBRK","demand","E3_customer","2","T2（提议）","结构 + ARR 真值对账","0.24","0.29","★★★","RBRK 财报一手","testing","H/M/L：τM cM rM eM lM（doc25）；因子 r0.9/e0.6/l0.6/s0.9/φ0.6，c=0.49，τ=0.80（r=H：RBRK ARR 一手 P1；s=H 结构化财报；φ=M 季）；分数仅排序，假设 A1–A9","企业需备好 / 护住 AI 数据"
"e_datagov_rbrk","m_copyright_lit","RBRK","demand","E3_customer","2","T3（提议）","方向","0.01","0.29","★★","—","testing","D2 数据治理 / 版权 → 治理预算；因子 r0.6/e0.6/l0.6/s0.3/φ0.3，c=0.24，τ=0.80（诉讼/授权事件噪声大 s=L；事件驱动 φ=L）；分数仅排序，假设 A1–A9","企业数据治理预算"
"e_reg_rbrk","m_ai_regulation","RBRK","regime","E5_theme","2","T2（提议）","事件研究","0.08","0.14","★★","—","testing","D7 AI 监管 / 数据合规 → RBRK 顺风；因子 r0.9/e0.3/l0.6/s0.6/φ0.3，c=0.49，τ=0.80（法案文本 P1 r=H；全公开 e=L；事件驱动 φ=L）；分数仅排序，假设 A1–A9","治理预算 ↑"
"e_challenger_rbrk","m_new_paradigm","RBRK","compete","E4_competitor","1","T3","方向（做空预警）","0.01","0.20","★★","—","testing","AI-native 安全挑战者 / 大厂自带；红框；因子 r0.3/e0.6/l0.6/s0.3/φ0.3，c=0.27，τ=0.55（挑战者信号多为 PR/传闻 r=L s=L）；分数仅排序，假设 A1–A9",""
"e_dcppa_fcel","m_fcel_dc_ppa","FCEL","self","E1_self","0","T2","合同真值对账","—","—","★★★","75MW 协议（P1）","testing","本体即 D1 电力 / D7 能源节点",""
"e_energy_fcel","m_energy_grid","FCEL","regime","E5_theme","2","T2（提议）","结构（供电方案 → 订单）","0.05","0.29","★★★","—","testing","D7 能源 / 电网政策 · 核电 · PPA；因子 r0.6/e0.6/l0.6/s0.6/φ0.3，c=0.49，τ=0.80（PPA/审批半公开 e=M；事件驱动 φ=L）；分数仅排序，假设 A1–A9","数据中心供电方案"
"e_dcbuild_fcel","m_dc_power_iea","FCEL","demand","E3_customer","2","T2（提议）","结构 + 订单真值对账","0.05","0.14","★★","IEA / backlog","testing","D1 算力建设 → 电力需求；因子 r0.6/e0.3/l0.6/s0.6/φ0.3，c=0.49，τ=0.80（IEA P2 r=M；年更 φ=L；全公开 e=L）；分数仅排序，假设 A1–A9","电力需求"
"e_d1_supx","m_gpu_ship","SUPX","supply","E2_supplier","1","T1（候选）","公开财报 vs D1 数据可回测","0.39","0.04","☆","—","testing","D1 子节点：中国 AI 服务器整机；tracker 不深挖；因子 r0.9/e0.3/l0.3/s0.9/φ0.6，c=0.81，τ=0.40（from=NVDA 财报 P1 r=H s=H；全公开 e=L；财报同步 l=L）；分数仅排序，假设 A1–A9",""
"e_d1_sndk","m_hbm_cowos","SNDK","supply","E2_supplier","1","T1（候选）","同上","0.17","0.20","☆","—","testing","D1 子节点：存储 / NAND；因子 r0.6/e0.6/l0.6/s0.6/φ0.6，c=0.81，τ=0.55（from=HBM/CoWoS 付费源 P3：r=M e=M（付费半独家））；分数仅排序，假设 A1–A9",""
"e_d1_mu","m_hbm_cowos","MU","supply","E2_supplier","1","T1（候选）","同上","0.17","0.20","☆","—","testing","D1 子节点：HBM；因子 r0.6/e0.6/l0.6/s0.6/φ0.6，c=0.81，τ=0.55（同上）；分数仅排序，假设 A1–A9",""
"e_d1_intc","m_gpu_ship","INTC","supply","E2_supplier","1","T1（候选）","同上","0.39","0.04","☆","—","testing","D1 子节点：CPU / 代工；因子 r0.9/e0.3/l0.3/s0.9/φ0.6，c=0.81，τ=0.40（同上）；分数仅排序，假设 A1–A9",""
