"assumption_id","section","text","current_value","kind","impact","refine_by","status"
"A1","打分系数","因子 H/M/L 锚","0.9 / 0.6 / 0.3","先验","🔵","回测：实现有用性对因子分档","assumption"
"A2","打分系数","节点价值权重","0.45e+0.25s+0.20r+0.10φ","先验","🔵","回归：信号有用性 ~ 因子","assumption"
"A3","打分系数","传导确定性衰减","c = base × 0.9^hops","先验","🟠","回测：每跳实际信息衰减率","assumption"
"A4","打分系数","cert_base","T1=0.9 / T2=0.6 / T3=0.3","先验","🟠","各 tier 边的实测命中率","assumption"
"A5","打分系数","领先期归一 τ","min(1, 0.25·hops + 0.5·l)","先验","🔵","实测各边 lead 分布","assumption"
"A6","打分系数","两产出乘积式","tradable=c·r·s·φ；warning=τ·l·e","设计选择","🔵","乘积 vs 加权，回测选形","assumption"
"A7","打分系数","权重归一","max(tradable,warning) 占比","设计选择","🟠","P&L 归因检验","assumption"
"A8","打分系数","provenance→r 映射","P1=0.9 / P2·3=0.6 / P4=0.3","设计选择","🔵","—","assumption"
"A9","打分系数","RBRK / FCEL / 尾仓 / E34 补边 因子赋值","见边总表 notes","先验","🔵","回测","assumption"
"A10","打分系数","边的中间机制节点（chain 列）","见边总表 chain","先验","🔵","结构论证","assumption"
"B1","领先期","中际旭创营收领先美股名","~18d","先验","🟠","lead-lag 实测","assumption"
"B2","领先期","海关月度领先财报","~20d","先验","🟠","lead-lag 实测","assumption"
"B3","领先期","lab 融资领先 NBIS backlog","~180d（Reflection 一例 278d）","先验","🟠","事件间隔实测","calibrating"
"B4","领先期","NBIS 产能上电领先收入","~90d","先验","🟠","上电→收入确认实测","assumption"
"C1","领域","海关光模块占 HS8517 系数","未填","占位","🟠","招股书 / 协会口径标定","placeholder"
"C2","领域","800G 2026 出货","~63M 只","预测","🔵","逐季实际替换","assumption"
"C3","领域","中际旭创+新易盛 = 全球 AI 建设强度代理","覆盖 ~60% NVIDIA 800G","先验","🟠","覆盖率核 + 与 capex 对账","assumption"
"C4","领域","NBIS 单票回测借 hyperscaler capex / CoreWeave 延长历史","用代理","设计选择","🟠","代理与 NBIS 相关性检验","assumption"
"C5","领域","NBIS 收入预合同化 → 执行监控非 nowcast","定性成立","先验","🔵","后续披露验证","validated"
"C6","领域","供需对账「背离」阈值","未定","占位","🟠","历史 regime 标注定阈","placeholder"
"C7","领域","Cohere / Reflection 估值","Reflection $25B pre（CEO P2）；Cohere 在谈 $20B（P3）","时效","🔵","季度复验","calibrating"
"C8","领域","前沿信号「影响程度」量化","未定","占位","🟠","doc29 影响力评分设计","placeholder"
"C9","领域","下次财报日以聚合站估计代替公司公告","NBIS 11-10 / STAA 11-04 / NVDA 11-17 / RBRK 12-03 / hyperscaler 10-27~29","时效","🔵","公司 IR 公告一出即替换","assumption"
"C10","领域","中际旭创海外收入占比 ≈94.8%","39,614.7 / 41,777.9","设计选择","🔵","半年报分地区收入表核","calibrating"
"C11","领域","四家 hyperscaler capex 合计 ≈$166B 作单一代理","口径混合","设计选择","🟠","统一口径后重算","assumption"
"C12","领域","NBIS 5 GW contracted power 作产能执行领先指标","合同电力 ≠ 并网电力","先验","🟠","逐季 contracted vs connected 兑现率","assumption"
"C13","领域","13F 2026Q3 截止日 = 2026-11-16","规则推定","设计选择","🔵","SEC 日历","assumption"
"C14","领域","BIS「25%」= 232 关税而非收入抽成","官方文件口径","领域事实","🔵","—","validated"
"C15","领域","0679.HK 为 special situations / 董事会改组仓","HKEXnews 5–9 月无 EGM / 董事变动","先验","🔵","她核 DI 动机","assumption"
"C16","领域","「cost/token 单调下行」","Gemini 3.8 Flash 2027-01-01 涨价","领域事实","🟠","改为分档（C16′）","retired"
"C17","领域","OpenRouter 用量榜代理全市场推理结构","只读开源 / 中国占比方向","设计选择","🔵","—","assumption"
"C18","领域","NVIDIA 投 Nebius $2B 计入循环融资敞口","$2B / 承诺 $40B 待定义","占位","🟠","量化定义","placeholder"
"R1","退役","Reflection 是否即 NBIS 客户","2026-07 $1B 合同已证","领域事实","🔵","—","retired"
"R2","退役","early_A 作 layer 值","两轴分离（E23）","设计选择","🔵","—","retired"
"R3","退役","signal_stream 作字段","改视图（E24）","设计选择","🔵","—","retired"
"R4","退役","NBIS ARR / backlog / 5GW 为电话会口径需钉 transcript","股东信一手已证","领域事实","🔵","—","retired"
"R5","退役","Epoch 训练算力增速 4.5×/年","trends 页 5×/年","领域事实","🔵","—","retired"
"R6","退役","「美方抽成 25%」","25% ad valorem duty","领域事实","🔵","—","retired"
"A11","打分系数","观测记录的方向判断（↑增强 / ↓削弱 / →中性 / !冲击需人判 / —不适用），相对该节点所喂持仓票的 thesis","pipeline/directions.py：指标级默认 + 记录级覆盖，B 初稿","先验","🔵","D 逐条复核；回测方向命中率","assumption"
