"metric_id","entry","dim","ticker_or_entity","name","data_class","signal_role","frequency","lead_time_est","owner","availability","source_family","next_release","next_release_basis","status","notes_assumption_ids"
"m_nbis_rev","持仓","D1","NBIS","NBIS 季度收入","1","expectation_base","季","—","A","🟢","Nebius 6-K Ex.99.1（SEC EDGAR）https://www.sec.gov/Archives/edgar/data/1513845/000110465926094568/tm2622968d1_ex99-1.htm ；Q2 2026 Shareholder Letter https://assets.nebius.com/assets/a6ecfd85-a6cb-4967-8ef7-9a25bd261f9c/SHLQ226.pdf","2026-11-10（估计）","估计（MarketBeat 按往季推定，P3；公司 IR 页无 upcoming）","已填","需求锚；本体 0 跳。BusinessWire 原链 403 → 改用 SEC 6-K"
"m_nbis_ebitda","持仓","D1","NBIS","NBIS Adj. EBITDA","1","expectation_base","季","—","A","🟢","Nebius 6-K Ex.99.1（SEC EDGAR）同上","2026-11-10（估计）","估计（P3）","已填","「AI 分部 $575M / 98%」为 P3，一手未拆分"
"m_nbis_arr","持仓","D1","NBIS","NBIS ARR","1","expectation_base","季","—","A","🟢","Nebius Q2 2026 Shareholder Letter（SHLQ226.pdf，2026-08-12）","2026-11-10（估计）","估计（P3）","已填","P2→P1 已升级（股东信一手）。口径：AI cloud 最后一月收入 ×12"
"m_nbis_backlog","持仓","D1","NBIS","NBIS 合同 backlog / 客户预付","2","expectation_base","事件","—","B","🟢","Nebius Q2 2026 Shareholder Letter（P1）；Q2 电话会 CFO “more than $40 billion of committed backlog”（转述 P2）","事件驱动","待定","已填","P2→P1 已升级。补丁② amount_type=multi_year_cap；预付为指引 is_estimate。措辞：股东信用“customer commitments”，电话会用“committed backlog”"
"m_nbis_capacity","持仓","D1","NBIS","NBIS 电力目标（合同电力 / 并网电力）","2","predictor","事件","90d","B","🟢","Nebius Q2 2026 SHL（5 GW 合同电力，P1）；Q1 2026 SHL https://assets.nebius.com/assets/aa1bc2e6-df83-40cd-a6a2-95e7cda3d16c/Nebius%20SHL_Q1%202026.pdf（800MW–1GW 并网电力，P1）；Q2 电话会重申（P2）","2026-12-31","公司公告（目标，电话会口径）","已填","★ 关键可观测量。口径修正：5 GW 是 contracted power（合同/锁定电力），不是建成产能；800MW–1GW 才是 connected。假设 B4"
"m_nbis_calltone","持仓","D1","NBIS","NBIS 电话会措辞（单价 / 利用率）","3","arbiter","事件","—","B","🟢","Nebius Q2 2026 SHL（P1）；Q2 电话会 transcript（The Globe and Mail 转载，P2）https://www.theglobeandmail.com/investing/markets/stocks/NBIS/pressreleases/3934457/nebius-nbis-q2-2026-earnings-call-transcript/","2026-11-10（估计）","估计（P3）","已填","“AI 分部利润率 ~50%” 未在 SHL 抽到，保留 P2 待钉"
"m_reconcile_nbis","持仓","—","NBIS","供给 × 需求 对账 → regime","—","arbiter","事件","—","D","—","规则：doc22 §五 三态表","随两侧更新","待定","已填（定性）","假设 C6 对账阈值未定（🟠 禁用于告警）；裁量与仓位含义 D。供给端新证据：NBIS 5 GW 合同电力 / >$40B 承诺 / hyperscaler Q2 capex ≈$166B；需求端新证据：NVDA DC $89B +117%"
"m_rbrk_rev","持仓","D6","RBRK","Rubrik 季度收入","1","expectation_base","季","—","A","🟢","Rubrik IR press release 2026-08-27 https://ir.rubrik.com/news-events/press-releases/news-details/2026/Rubrik-Reports-Second-Quarter-Fiscal-Year-2027-Financial-Results/default.aspx","2026-12-03（估计）","估计（MarketBeat，P3；IR 页无 upcoming）","已填","本体 = D6 企业 AI adoption 节点（0 跳）"
"m_rbrk_sub_arr","持仓","D6","RBRK","Rubrik 订阅 ARR","1","predictor","季","—","A","🟢","Rubrik IR press release 2026-08-27（同上）","2026-12-03（估计）","估计（P3）","已填","= D6 企业 AI adoption 一手样本（交点）"
"m_rbrk_cloud_arr","持仓","D6","RBRK","Rubrik Cloud ARR","1","predictor","季","—","A","🟢","Rubrik IR press release 2026-08-27（同上）","2026-12-03（估计）","估计（P3）","已填",""
"m_rbrk_nn_arr","持仓","D6","RBRK","Rubrik 净新增订阅 ARR","1","predictor","季","—","A","🟢","Rubrik IR press release 2026-08-27（同上）","2026-12-03（估计）","估计（P3）","已填","绝对值待回 IR 原文"
"m_rbrk_fcf","持仓","D6","RBRK","Rubrik 自由现金流","1","expectation_base","季","—","A","🟢","Rubrik IR press release 2026-08-27（同上）","2026-12-03（估计）","估计（P3）","已填",""
"m_rbrk_ai_product","持仓","D6","RBRK","Rubrik AI 产品线事件","2","predictor","事件","—","B","🟢","新闻 / 公司公告","事件驱动","待定","已填","事件日期待钉"
"m_staa_sales","持仓","—","STAA","STAAR 总净销售","1","expectation_base","季","—","A","🟢","STAAR press release 2026-08-12 https://investors.staar.com/news-and-events/press-releases/2026/08-12-2026-210127260 ；10-Q https://www.sec.gov/Archives/edgar/data/0000718937/000071893726000037/staa-20260703.htm","2026-11-04（估计）","估计（MarketBeat，P3）","已填","out-of-AI-scope；中国地面数据 nowcast 方法论样板"
"m_staa_china","持仓","—","STAA","STAAR 中国净销售","1","predictor","季","—","A","🟢","STAAR 10-Q（同上）","2026-11-04（估计）","估计（P3）","已填","out-of-AI-scope"
"m_staa_units","持仓","—","STAA","STAAR APAC 销售 / ICL 销量","1","predictor","季","—","A","🟢","STAAR 10-Q / press release（同上）","2026-11-04（估计）","估计（P3）","已填","out-of-AI-scope"
"m_staa_ni","持仓","—","STAA","STAAR 净利","1","expectation_base","季","—","A","🟢","STAAR 10-Q / press release（同上）","2026-11-04（估计）","估计（P3）","已填","out-of-AI-scope"
"m_staa_event","持仓","—","STAA","STAAR 公司事件（并购 / 治理）","2","regime","事件","—","D","🟢","公司公告","事件驱动","待定","已填","out-of-AI-scope；判读 D"
"m_fcel_rev","持仓","D1","FCEL","FuelCell 季度收入","1","expectation_base","季","—","A","🟢","FuelCell Energy press release 2026-09-02（GlobeNewswire）https://www.globenewswire.com/news-release/2026/09/02/3355029/8041/en/… ；SEC 8-K Ex.99.1 https://www.sec.gov/Archives/edgar/data/0000886128/000110465926104498/fcel-20260902xex99d1.htm","2026-12 中旬（待定）","待定（IR 页无 upcoming；聚合站亦无）","已填",""
"m_fcel_backlog","持仓","D1","FCEL","FuelCell backlog","2","expectation_base","季","—","B","🟢","FuelCell 8-K Ex.99.1（同上）","2026-12 中旬（待定）","待定","已填","合同质量判读 B"
"m_fcel_dc_ppa","持仓","D1/D7","FCEL","FuelCell 首个数据中心供电协议","2","predictor","事件","—","B","🟢","FuelCell 8-K Ex.99.1（同上）","事件驱动","待定","已填","交点：D1 数据中心电力 / D7 能源约束 一手事件（本体 0 跳）。对手方与金额均未披露 → 合同质量判读 B"
"m_fcel_capacity","持仓","D1","FCEL","FuelCell 年化产能","2","predictor","事件","—","B","🟢","FuelCell 8-K Ex.99.1（同上）","2026-12 中旬（待定）","待定","已填","目标值为 P4"
"m_fcel_cash","持仓","D1","FCEL","FuelCell 净亏 / 现金","1","expectation_base","季","—","A","🟢","FuelCell 8-K Ex.99.1（同上）","2026-12 中旬（待定）","待定","已填",""
"m_tail_supx","持仓","D1","SUPX","SuperX AI（中国 AI 服务器）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2（xlsx）；SuperX 6-K Ex.99.1 2026-06-22 https://www.sec.gov/Archives/edgar/data/1897087/000121390026070389/ea029316901ex99-1.htm","2026-11-16","规则推定（13F Q3 截止）","已填","D1 整机 / 服务器子节点；举牌 13G 5.48%；FY26 全年（截至 2026-06-30）未发布 —— AI 收入尚未落地是这只票的核心风险"
"m_tail_sndk","持仓","D1","SNDK","闪迪（存储）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；Sandisk 8-K Ex.99.1 2026-08-05 https://www.sec.gov/Archives/edgar/data/2023554/000162828026053346/sndkq4-26ex991xpressrelease.htm","2026-11-16","规则推定","已填","D1 存储 / NAND 子节点；基金 Q2 几乎清仓（−98.89%）但 KPI 仍强 —— E5 轮动读数"
"m_tail_mu","持仓","D1","MU","美光（HBM / 存储）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；Micron 8-K Ex.99.1 2026-06-24 https://www.sec.gov/Archives/edgar/data/723125/000072312526000013/a2026q3ex991-pressrelease.htm；财报日公告 GlobeNewswire 2026-08-26（P1，我方抽核）","2026-09-30","公司公告（GlobeNewswire 2026-08-26：「Wednesday, Sep. 30, 2026, at 2:30 p.m. Mountain time」）","已填","D1 HBM 子节点；**唯一一个有公司公告的下次财报日**"
"m_tail_intc","持仓","D1","INTC","英特尔（CPU / 代工）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；Intel 8-K 2026-07-23 https://www.sec.gov/Archives/edgar/data/50863/000005086326000155/q226earningsrelease.htm","2026-11-16","规则推定","已填","D1 CPU / 代工子节点"
"m_tail_cien","持仓","D1","CIEN","Ciena（光互连）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；Ciena IR 2026-09-03 https://investor.ciena.com/news/news-details/2026/Ciena-Reports-Fiscal-Third-Quarter-2026-Financial-Results/default.aspx；SEC 8-K","2026-11-16","规则推定","已填","D1 光互连子节点；基金 Q2 几乎清仓但 FY 指引上调 —— E5 轮动读数"
"m_tail_mrvl","持仓","D1","MRVL","Marvell（定制芯片 / 光 DSP）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；Marvell IR 2026-08-27 https://investor.marvell.com/news-events/press-releases/detail/1031/marvell-technology-inc-reports-second-quarter-of-fiscal-year-2027-financial-results","2026-11-16","规则推定","已填","D1 定制芯片 / 光 DSP 子节点"
"m_tail_poet","持仓","D1","POET","POET（光互连）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；POET 官方新闻稿 2026-08-13 https://www.poet-technologies.com/news/poet-technologies-reports-second-quarter-2026-results-revenue-up-112-year-over-year-in-sixth-consecutive-quarter-of-sequential-growth","2026-11-16","规则推定","已填","D1 光互连子节点；收入体量极小（<$1M/季），仓位属期权型"
"m_tail_amd","持仓","D1","AMD","AMD（加速器）13F 仓位","1","predictor","季","—","A","🟢","SEC 13F 2026Q2；AMD IR 2026-08-04 https://ir.amd.com/news-events/press-releases/detail/1295/amd-reports-second-quarter-2026-financial-results（P1，我方抽核）","2026-11-16","规则推定","已填","D1 加速器子节点；Anthropic 2GW 合作 = D3 lab 资本 → D1 算力的又一条边实例"
"m_slmt","持仓","—","SLMT","Brera Holdings（加密，非 AI）13F 仓位","1","—","季","—","A","🟢","SEC 13F 2026Q2 + SC 13G","2026-11-16","规则推定","已填","out-of-AI-scope；PIPE 式结构仓"
"m_13f_book","持仓","—","组合","13F 美股多头组合快照","1","regime","季","—","A","🟢","SEC 13F-HR（xlsx sheet 02 / 05）","2026-11-16","规则推定：SEC 13F FAQ“45 days after quarter end；weekend → first business day”（11-14 周六）；Gibson Dunn 2026 日历列 Nov 16（P3）","已填","E5 主题轮动：LITE / CRCL / PDD / SEDG / VG / AXTI / KC / LX 出 → NBIS / RBRK / FCEL / MRVL / POET / AMD 进"
"m_hkex_0679","持仓","—","0679.HK","港股 DI：亚洲电信科技（Asia Tele-Net）","2","regime","事件","—","B","🟢","HKEX 披露易（xlsx sheet 11）；HKEXnews 公告：中期业绩 2026-08-26 https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0826/2026082601945.pdf；盈警 2026-08-14 …/0814/2026081401919.pdf","事件驱动","待定","已填","**修正 xlsx sheet 11 的读法**：2026-05 ~ 09 HKEXnews 17 份公告中无 EGM、无董事变动、无业务转型（只有 AGM 例行、换手数、盈警、中期业绩）→ 「疑似 special situations / 董事会改组」缺公告佐证，降为待验证假设（C15）；out-of-AI-scope"
"m_cn_optics_zte","AI","D1","中际旭创 300308.SZ","中际旭创 季度 / 半年营收","1","predictor","季","18d","A","🟢","深交所 / 巨潮：2026 半年报摘要 https://static.cninfo.com.cn/finalpage/2026-08-22/1225491752.PDF（公告编号 2026-082）；全文 1225491753.PDF；2026 一季报公告","≤2026-10-31 三季报","规则推定（深交所预约披露接口不可用，具体日待核）","已填","H1 已回原文升 P1（本地 pdftotext 抽核）。假设 B1 / C3；valuable 0.735（P5）。“净利 +242%”原为四舍五入，精确 241.70%"
"m_cn_optics_eoptolink","AI","D1","新易盛 300502.SZ","新易盛 季度 / 半年营收","1","predictor","季","18d","A","🟢","新易盛 2026 半年报全文（公告编号 2026-044）新浪镜像 PDF http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-8/2026-08-25/12528568.PDF（巨潮接口 403，原链待补）","≤2026-10-31 三季报","规则推定","已填（待回巨潮原链）","镜像为原公告 PDF 全文，数字 P1；来源链路 P3 → 待补巨潮静态 URL"
"m_cn_optics_customs","AI","D1","海关总署","海关光通信月度出口（HS8517 反推光模块）","1","predictor","月","20d","B","⚪","海关总署月度进出口","每月约 7–10 日发布上月","规则推定（具体日待核）","placeholder","假设 C1（🟠，用前必标定）；B2"
"m_800g_shipment","AI","D1","光模块（赛道）","800G+ 全球光模块出货","1","predictor","季 / 年","—","A","🟢","semisino（待回研报 / 协会）","—","待定","待钉一手","假设 C2"
"m_hbm_cowos","AI","D1","HBM / CoWoS","HBM 代际 / 产能、CoWoS 先进封装产能","1","predictor","季","—","B","🔵","SemiAnalysis / TrendForce","—","待定","付费定性","免费只拿定性"
"m_gpu_ship","AI","D1","NVDA（代理）","GPU / 加速器出货与代际（NVDA 数据中心收入作代理）","1","predictor","季","—","B","🟢","NVIDIA press release 2026-08-26 https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2027 ；CFO commentary https://s201.q4cdn.com/141608511/files/doc_financials/2027/Q227/Q2FY27-CFO-Commentary.pdf","2026-11-17（盘后，估计）","估计（Wall Street Horizon 标 confirmed，但 NVIDIA IR 页未见公告 → 按 P3 处理）","已填","D1 加速器出货代理；指引不含中国 DC compute → 与 D7 出口管制交点"
"m_capex_msft","AI","D1","MSFT","Microsoft capex（季度）","1/3","expectation_base / predictor","季","—","A/B","🟢","Microsoft FY26 Q4 press release https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast ；电话会 https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4","2026-10-27 或 10-28（估计）","估计（TipRanks 10-27 confirmed vs WSH 10-28 unconfirmed，冲突；官方未见）","已填","C11 口径：现金 capex 不含融资租赁"
"m_capex_googl","AI","D1","GOOGL","Alphabet capex（季度）","1/3","expectation_base / predictor","季","—","A/B","🟢","Alphabet Q2 2026 earnings release https://s206.q4cdn.com/479360582/files/doc_financials/2026/q2/2026q2-alphabet-earnings-release.pdf ；电话会 https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx","2026-10-28（估计）","估计（WSH unconfirmed）","已填","C11"
"m_capex_amzn","AI","D1","AMZN","Amazon capex（季度）","1/3","expectation_base / predictor","季","—","A/B","🟢","Amazon Q2 2026 8-K Ex.99.1 https://www.sec.gov/Archives/edgar/data/1018724/000101872426000024/amzn-20260630xex991.htm ；电话会 transcript（Motley Fool 转载）","2026-10-29（估计）","估计（TipRanks confirmed；另一来源 10-22，冲突）","已填","C11 口径：PP&E 毛额 vs cash capex 差 ≈$1.1B"
"m_capex_meta","AI","D1","META","Meta capex（季度）","1/3","expectation_base / predictor","季","—","A/B","🟢","Meta Q2 2026 8-K Ex.99.1 https://www.sec.gov/Archives/edgar/data/1326801/000162828026050596/meta-06302026xexhibit991.htm","2026-10-28（估计）","估计（WSH unconfirmed）","已填","C11"
"m_hyperscaler_capex","AI","D1","MSFT / GOOGL / AMZN / META","hyperscaler capex 四家合计（计算值）","1","expectation_base / predictor","季","—","A","🟢","MSFT FY26Q4 press release https://www.microsoft.com/en-us/investor/earnings/fy-2026-q4/press-release-webcast + 电话会；GOOGL Q2 release https://s206.q4cdn.com/479360582/files/doc_financials/2026/q2/2026q2-alphabet-earnings-release.pdf + 电话会；AMZN 8-K Ex.99.1 https://www.sec.gov/Archives/edgar/data/1018724/000101872426000024/amzn-20260630xex991.htm + 电话会；META 8-K Ex.99.1 https://www.sec.gov/Archives/edgar/data/1326801/000162828026050596/meta-06302026xexhibit991.htm","2026-10-27 ~ 10-29（估计）","估计（聚合站；MSFT 10-27 vs 10-28、AMZN 10-29 vs 10-22 口径冲突，均未见官方）","已填","假设 C11（🟠 若用于回归须统一口径）；C4 作 e_optics_nbis 回测的下游代理。分项：m_capex_msft / googl / amzn / meta"
"m_gpu_rental_price","AI","D1","云 GPU 市场","GPU 租赁价 / 交货周期","1","predictor / regime","周","—","A/B","🟢","云价格页 / 专家访谈","持续","规则推定（周）","待填",""
"m_dc_power_iea","AI","D1/D7","IEA","全球数据中心用电","1","regime / predictor","年","—","B","🟢","IEA（Energy and AI / Electricity 2026）","2027-02（估计）","估计（往年 2 月）","已填","交点：FCEL 75MW 为一手事件"
"m_data_wall","AI","D2","前沿数据","数据枯竭 / 合成数据突破","4","predictor","事件","—","B","🟢","arXiv / Epoch AI","事件驱动","待定","待填","本轮未查到 2026 年「数据枯竭 / 合成数据」代表性一手事件（agent 未覆盖 arXiv 检索）；留待前沿雷达（doc29）主题聚类产出"
"m_data_labeling","AI","D2","Scale / Surge","数据标注支出 / 定价","1/2","predictor","事件","—","B","🟢","Scale AI 官方博客 https://scale.com/blog/scales-next-era-building-for-2026（2026-01-22，P1）；https://scale.com/blog/scale-appoints-new-ceo（2026-07-30，P1）；Surge AI：Wikipedia / Sacra 转引 Bloomberg 2025-07（P3）","事件驱动","待定","已填（无绝对值）","Scale 未披露收入绝对值与估值；Surge 2026 无一手 → 标注数据缺口而非估算"
"m_copyright_lit","AI","D2","版权诉讼","版权诉讼与授权（NYT × OpenAI 等）","2","regime","事件","—","B","🟢","DOJ Statement of Interest（S.D.N.Y. 25-md-3143, Doc. 316，2026-09-01）https://fingfx.thomsonreuters.com/gfx/legaldocs/jnvwzqxzbpw/OPENAI%20NEW%20YORK%20TIMES%20COPYRIGHT%20LAWSUIT%20govtbrief.pdf（P1）；TechCrunch / 404 Media 2026-09-17（P3）；Reddit 8-K 2026-07-30（P1）；Wiley 8-K 2026-06-16（P1）；Meta Newsroom 2026-03-13（P1）","事件驱动","待定","已填","RBRK 上游 D2 边（e_datagov_rbrk）；DOJ 立场若被法院采纳 = 数据治理预算顺风减弱，方向对 RBRK 偏空"
"m_lab_funding_reflection","AI","D3","Reflection AI","Reflection AI 一级融资","2","predictor","事件","180d","B","🟢","TechCrunch 2025-10-09（$2B@$8B，P1）；reflection.ai/news 转列 CNBC 2026-04-23 视频「CEO confirms latest funding round closed at $25 billion pre-money」（P2）；Yahoo/GuruFocus 与 TechFundingNews 2026-03-26/27 转引 WSJ「拟募 $2.5B @ $25B pre」（P3）","事件驱动","待定","已填（2026 轮金额待一手）","假设 B3 calibrating（Reflection 2025-10 融资 → 2026-07 签 NBIS 合同 = 278 天）；C7 更新：$25B pre-money 由 CEO 口径证实，原「$20–27B 在谈」收敛；NBIS 客户；ex-DeepMind"
"m_lab_contract_reflection_nbis","AI","D3","Reflection AI ↔ NBIS","Reflection ↔ Nebius 算力合同","2","predictor","事件","—","B","🟢","TechCrunch / Bloomberg / Reuters（2026-07-14）","事件驱动","待定","已填","证边 e_labfund_nbis 一次；R1 已核销。SHL Q2 提及 Reflection deal（待抽原句）"
"m_lab_funding_cohere","AI","D3","Cohere","Cohere ARR / 估值","2","predictor","事件","180d","B","🟢","PYMNTS / Investing.com 2026-09-11 转引 The Globe and Mail（P3）；TechCrunch 2026-04-25 https://techcrunch.com/2026/04/25/why-cohere-is-merging-with-aleph-alpha/（P2/P3）；The Globe and Mail 2026-02-13 投资者备忘录（P2）","事件驱动","待定","已填（Series E 未完成）","C7：估值 $7B 已 stale，现 $20B 为在谈口径；截至 2026-09-19 未见完成公告；NBIS 客户"
"m_lab_funding_frontier","AI","D3","OpenAI / Anthropic / xAI / Mistral 等","其他前沿 lab 大额融资（2026）","2","predictor","事件","180d","B","🟢","Anthropic 官方 https://www.anthropic.com/news/series-h（2026-05-28，P1，我方抽核）；xAI 官方 https://x.ai/news/series-e（2026-01-06，P1）；OpenAI：TechCrunch / SiliconANGLE 2026-03-31（P2；官方博客 403）；OpenAI 员工要约：Tech Startups / Dealroom 2026-08-11 转引 Bloomberg / CNBC（P3）；xAI 估值：Yahoo/GuruFocus（P3）、Reuters 经 Yahoo 2026-02-02（P3）","事件驱动","待定","已填","D3 一级资本流 2026 年内三大 lab 合计 ≈$207B 融资（计算值）；xAI 融资形式（股 / 债）未披露；Anthropic Series H 之后至 2026-09 未见新轮"
"m_vc_flow","AI","D3","AI 赛道一级","AI 赛道一级资金流 / 估值轮动","2","predictor","事件","—","B","🔵","PitchBook / IT桔子 / 烯牛","事件驱动","待定","付费定性",""
"m_circular_financing","AI","D3","Nvidia 系","Nvidia 系战略投资 / 循环融资信号","2","regime","事件","—","B/D","🟢","NVIDIA newsroom 2026-01-26（CoreWeave $2B，P1）；Nebius newsroom 2026-03-11 https://nebius.com/newsroom/nvidia-and-nebius-partner-to-scale-full-stack-ai-cloud（P1，我方抽核）；NVIDIA 10-Q（截至 2026-04-26）https://www.sec.gov/Archives/edgar/data/0001045810/000104581026000052/nvda-20260426.htm（P1）；Motley Fool 2026-08-19 / 08-25、Fortune 2026-08-12、Dealroom 2026-09-02、Newcomer 2026-08-20（P3）","事件驱动","待定","已填","NBIS 头号风险论据。**NVIDIA 投 Nebius $2B 是 NBIS 本体的循环融资敞口一手证据**（供芯方 = 股东 = 客户 Reflection 的领投方）；判读 D"
"m_crwv_peer","AI","D1/D3","CRWV（NBIS 同业）","CoreWeave 季度收入 / backlog / capex（NBIS 同业对照）","1/2","predictor / expectation_base","季","—","A/B","🟢","CoreWeave IR press release 2026-08-11 https://investors.coreweave.com/news/news-details/2026/CoreWeave-Reports-Strong-Second-Quarter-2026-Results/default.aspx（P1，我方抽核）；电话会 transcript PDF（CFO，P1/P2）；SEC 8-K","2026-11-16 或 11-09（估计，聚合站冲突）","估计（TipRanks 11-16 confirmed vs Public.com 11-09；官方未见）","已填","假设 C4：NBIS 单票回测借 CoreWeave 延长历史的代理序列；NBIS 同业 neocloud；NVIDIA 持股（$2B）"
"m_preipo_pool","AI","D3","pre-IPO 池","pre-IPO 池 / 打新","2","predictor","事件","—","C","🔵","一级 DB / 招股书","事件驱动","待定","待填","人定义口径"
"m_talent_flow","AI","D4","顶尖研究员","顶尖研究员流向 / 团队 spin-out","2","predictor","事件","—","C","⚪","领英 / 论文署名 / GitHub","事件驱动","待定","合规受限","ToS 限制、半人工、ROI 低 → 降优先"
"m_train_compute_epoch","AI","D5","前沿模型（赛道）","前沿训练算力年增速","4","predictor","月 / 事件","—","B","🟢","Epoch AI trends https://epoch.ai/trends（Updated 2026-02-05）；博客 https://epoch.ai/blog/training-compute-of-frontier-ai-models-grows-by-4-5x-per-year（2024-05-28）","持续更新","规则推定","已填","T_a 中立第三方。原记 4.5 为博客旧口径，现以 trends 页 5× 为准"
"m_aa_intel_index","AI","D5","Artificial Analysis","Artificial Analysis 智能指数（榜首）","4","predictor","周","—","A/B","🟢","Artificial Analysis 榜单 https://artificialanalysis.ai/leaderboards/models ；v4.3 说明 https://artificialanalysis.ai/articles/artificial-analysis-intelligence-index-v4-3（2026-09-07）","周更","规则推定","已填","T_a 中立。榜单页无显式更新日期，以 v4.3 文章日期为 knowledge_time"
"m_arxiv_topic_slope","AI","D5","arXiv / OpenAlex","论文主题斜率（范式拐点）","4","predictor","日","—","A/B","🟢","arXiv / OpenAlex API","日","规则推定","待填","工程量中–高；doc29 §五 管线"
"m_open_vs_closed","AI","D5","HuggingFace / GitHub","开源 vs 闭源差距","4","predictor","周","—","A/B","🟢","Artificial Analysis 榜单 https://artificialanalysis.ai/leaderboards/models（v4.3，P1）；Hugging Face API https://huggingface.co/api/models?sort=downloads&pipeline_tag=text-generation（2026-09-19 抓取，P1）","周","规则推定","已填","开源榜首为中国模型（GLM / Kimi）；与 D6 token 用量榜（DeepSeek / GLM / Hy4 占 OpenRouter 前四中三席）互证「开源追赶 + 中国侧」"
"m_bench_frontier","AI","D5","榜单","前沿 benchmark（SWE-bench / GPQA / ARC-AGI / LMArena 榜首）","4","predictor","事件","—","A/B","🟢","swebench.com（页面内嵌 leaderboard JSON，最新提交 2026-02-26）；ARC Prize 官方 JSON https://arcprize.org/media/data/leaderboard/v3.json / v2.json / v1.json（generatedAt 2026-09-04）+ 博客 https://arcprize.org/blog/astra（2026-09-03）；arena.ai/leaderboard/text（快照 2026-09-13）","事件驱动","待定","已填","T_a 中立第三方；SWE-bench 榜首两条 checked=false；ARC-AGI-3 榜单页只显示 <$10K 系统，99.9% 取自官方 JSON"
"m_infer_price_perf","AI","D5","Artificial Analysis","推理性价比（质量 / 延迟 / 成本）","4","predictor","周","—","A/B","🟢","Artificial Analysis 首页 / 榜单（内嵌 JSON price1mBlended0To3To1；2026-09-19 抓取）","周","规则推定","已填","同分（53）下 Astra 每任务成本为 Fable 5.1 的 43%；开源 GLM-5.3 以 45 分做到 $2.01/task —— 性价比曲线由开源压低"
"m_new_paradigm","AI","D5","前沿范式","新范式信号（世界模型 / 具身 / AI4S / 新架构）","4","predictor","事件","—","B/D","🟢","顶会主题 / lab 博客","事件驱动","待定","待填","过证伪闸 + 影响力闸（doc29 §四）；C8 占位"
"m_enterprise_adoption","AI","D6","企业 AI adoption","企业 AI adoption / ARR / NRR（RBRK 为一手样本）","1/2","predictor","季 / 事件","—","A/B","🟢","财报（RBRK）/ 招聘 JD / 支出调查","同 RBRK","估计","已填（样本）/ 扩展待填","交点：RBRK 本体 = D6 节点（0 跳）"
"m_cost_per_token","AI","D6","推理定价","推理成本下降曲线（cost/token）、API 降价","1","predictor","周 / 事件","—","A","🟢","OpenAI 定价页 https://platform.openai.com/docs/pricing + changelog https://platform.openai.com/docs/changelog（P1）；Anthropic https://platform.claude.com/docs/en/about-claude/pricing（P1）；Google https://ai.google.dev/gemini-api/docs/pricing（P1）","周","规则推定","已填","反例值得记：Gemini 3.8 Flash 已公告 2027-01-01 **涨价一倍** —— cost/token 曲线并非单调下行；前沿档 $10/$50 一年内未降"
"m_token_usage","AI","D6","OpenRouter 等","推理用量 / token 消耗","1","predictor","周","—","A/B","🟢","OpenRouter rankings https://openrouter.ai/rankings（「Usage data through Sep 18, 2026」；查证 agent 读原始 HTML，我方抽核页面截断未复核）","周","规则推定","已填（待复核）","OpenRouter 只是聚合路由的一角，不代表全市场用量；但前四中三席为中国开源模型（DeepSeek / 腾讯 Hy4 / GLM），是 D5 开源追赶的需求侧印证"
"m_app_retention_cn","AI","D6","中国 AI 应用出海","AI 应用留存 / 渗透","1","predictor","日 / 周","—","A/B","🟢","第三方 App 数据","日 / 周","规则推定","待填",""
"m_export_ctrl_bis","AI","D7","BIS","BIS 对华 GPU / HBM / 设备出口管制","2/3","regime","事件","—","B/D","🟢","BIS press release 2026-01-13 https://www.bis.gov/press-release/department-commerce-revises-license-review-policy-semiconductors-exported-china ；Federal Register 91 FR 1684–1689，FR Doc 2026-00789，RIN 0694-AK43，生效 2026-01-15 https://www.govinfo.gov/content/pkg/FR-2026-01-15/html/2026-00789.htm ；White House Proclamation 2026-01-14（Section 232）+ Fact Sheet","事件驱动","待定","已填","措辞修正：官方文件为“25% ad valorem duty（关税）”，不是“美方抽成 25% 收入”；BIS 规则与 FR 文本均不含 25%，25% 来自白宫 232 公告。判读 D"
"m_domestic_sub_policy","AI","D7","工信部 / 国务院","国产替代政策","2","regime","事件","—","B/D","🟢","政府公开文本","事件驱动","待定","待填",""
