"internal","ui_label","definition","layer"
"供","上游供给","60 天内供给侧关键边上观测方向的合成","分析"
"需","下游需求","60 天内需求侧关键边上观测方向的合成","分析"
"政","政策环境","60 天内政策 / regime 边上观测方向的合成","分析"
"regime","综合判断","供给态 × 需求态 合流的三态判断，分析师负责","分析"
"信念","同向偏多","供需同向","分析"
"预警","风险提示","60 天内 ! 或 ↓ 的观测计数，含口径警示","分析"
"领先读","领先指标","仅用可回测 / 结构成立的领先边","分析"
"验证点","下一个关键数据","能证实或证伪判断的下一个数据点","用户"
"盯","关注","接下来看什么","用户"
"本体","公司数据","公司自身披露","用户"
"书","持仓","13F 权重","用户"
"打到谁","影响持仓","该节点通过边打到的持仓票","分析"
"多确定","可信程度","边的验证层级","分析"
"T1","可回测","两端可观测时序，lead-lag 可测","分析"
"T2","结构成立","结构论证 + 真值对账","分析"
"T3","方向级","只给方向，不据此定仓位","分析"
"P1","公司公告 / 交易所 / 一手","provenance 一级","方法"
"P2","电话会口径","provenance 二级","方法"
"P3","二手媒体 / 聚合","provenance 三级","方法"
"P4","估算 / 预测","provenance 四级","方法"
"P5","设计层评分","非外部数据","方法"
"owner","分工","A/B/C/D 人机分工","方法"
"可交易度","偏可交易","边的可交易度分数，仅排序","方法"
"预警度","偏预警","边的预警度分数，仅排序","方法"
"跳","传导步数","从票到节点的因果箭头数","分析"
"E3_customer","客户需求","六类边之一","分析"
"假设 A11","方向为分析判断","B 初稿 D 复核，不进阈值","方法"
