"date","date_precision","event","entity_or_ticker","dim_or_entry","related_metric","basis","source_or_rule","notes"
"2026-01-06","day","xAI Series E $20B 完成","xAI","D3","m_lab_funding_frontier","已发生（P1）","x.ai/news/series-e","估值未披露"
"2026-01-13","day","BIS 新闻稿：对华半导体许可审查政策修订（H200 / MI325X case-by-case）","BIS","D7","m_export_ctrl_bis","已发生（P1）","bis.gov press release","与 2026-01-14 白宫 232 公告（25% 关税）、2026-01-15 FR 最终规则生效 构成一组"
"2026-01-15","day","Federal Register 最终规则生效：Revision to License Review Policy for Advanced Computing Commodities（91 FR 1684）","BIS","D7","m_export_ctrl_bis","已发生（P1）","govinfo FR Doc 2026-00789","RIN 0694-AK43"
"2026-01-26","day","NVIDIA 投资 CoreWeave $2B","NVDA / CRWV","D3","m_circular_financing / m_crwv_peer","已发生（P1）","nvidianews.nvidia.com",""
"2026-03-11","day","NVIDIA 投资 Nebius $2B","NVDA / NBIS","持仓 / D3","m_circular_financing / m_nbis_backlog","已发生（P1）","nebius.com/newsroom","NBIS 循环融资敞口一手证据"
"2026-03-31","day","OpenAI $122B 融资 @ $852B","OpenAI","D3","m_lab_funding_frontier","已发生（P2）","TechCrunch / SiliconANGLE（官方博客 403）","含 Nvidia $30B"
"2026-04-23","day","Reflection AI CEO 确认新一轮关闭（$25B pre-money）","Reflection","D3","m_lab_funding_reflection","已发生（P2）","CNBC 视频（reflection.ai/news 转列）","金额与领投方无一手"
"2026-05-28","day","Anthropic Series H $65B @ $965B","Anthropic","D3","m_lab_funding_frontier","已发生（P1）","anthropic.com/news/series-h","run-rate revenue >$47B"
"2026-06-22","day","SuperX FY26 H1（截至 2025-12-31）6-K","SUPX","持仓 / D1","m_tail_supx","已发生（P1）","SEC 6-K","AI 基础设施板块无收入"
"2026-06-24","day","Micron FY26 Q3 results","MU","持仓 / D1","m_tail_mu","已发生（P1）","SEC 8-K","$41.46B"
"2026-07-14","day","Reflection AI ↔ Nebius $1B+ 算力合同","Reflection / NBIS","D3","m_lab_contract_reflection_nbis","已发生（P1）","TechCrunch / Bloomberg / Reuters","证边 e_labfund_nbis"
"2026-07-22","day","Alphabet Q2 2026 results（capex）","GOOGL","D1","m_capex_googl","已发生（P1）","abc.xyz investor","$44.9B；全年上调至 $195–205B"
"2026-07-23","day","Intel Q2 2026 results","INTC","持仓 / D1","m_tail_intc","已发生（P1）","SEC 8-K","$16.1B +25%"
"2026-07-29","day","MSFT FY26Q4 / META Q2 2026 results（capex）","MSFT / META","D1","m_capex_msft / m_capex_meta","已发生（P1）","microsoft.com investor / SEC 8-K","MSFT $35.8B；META $31.08B"
"2026-07-30","day","Amazon Q2 2026 results（capex）","AMZN","D1","m_capex_amzn","已发生（P1）","SEC 8-K Ex.99.1","PP&E $54.2B；全年 ≈$220B（电话会）"
"2026-07-30","day","OpenAI GPT-5.6 Luna −80% / Terra −20% 降价","OpenAI","D6","m_cost_per_token","已发生（P1）","platform.openai.com changelog",""
"2026-08-04","day","AMD Q2 2026 results","AMD","持仓 / D1","m_tail_amd","已发生（P1）","ir.amd.com","DC $6.7B +107%"
"2026-08-05","day","Sandisk FY26 Q4 results","SNDK","持仓 / D1","m_tail_sndk","已发生（P1）","SEC 8-K","$8.97B"
"2026-08-11","day","CoreWeave Q2 2026 results","CRWV","D1 / D3","m_crwv_peer","已发生（P1）","investors.coreweave.com","backlog ≈$104B"
"2026-08-12","day","Nebius Q2 2026 results + Shareholder Letter","NBIS","持仓 / D1","m_nbis_rev / m_nbis_arr / m_nbis_backlog / m_nbis_capacity / m_nbis_calltone","已发生（P1）","SEC 6-K + SHLQ226.pdf","ARR $3.0B；承诺 >$40B；预付 >$9B；5 GW 合同电力"
"2026-08-13","day","POET Q2 2026 results","POET","持仓 / D1","m_tail_poet","已发生（P1）","poet-technologies.com",""
"2026-08-21","day","OpenAI GPT-5.6 Sol 促销 $4/$20（至少到 11-21）","OpenAI","D6","m_cost_per_token","已发生（P1）","platform.openai.com changelog",""
"2026-08-22","day","中际旭创 2026 半年报（公告 2026-082）","300308.SZ","D1","m_cn_optics_zte","已发生（P1）","巨潮 static.cninfo.com.cn","营收 ¥417.78 亿 +182.49%"
"2026-08-25","day","新易盛 2026 半年报（公告 2026-044）","300502.SZ","D1","m_cn_optics_eoptolink","已发生（P1 文件 / 镜像 P3）","新浪镜像 PDF；巨潮原链待补","营收 ¥209.10 亿 +100.34%"
"2026-08-26","day","NVIDIA Q2 FY27 results","NVDA","D1","m_gpu_ship","已发生（P1）","nvidianews.nvidia.com","DC $89.0B +117%"
"2026-08-26","day","亚洲电信科技 0679.HK 中期业绩","0679.HK","持仓","m_hkex_0679","已发生（P1）","HKEXnews","out-of-AI-scope"
"2026-08-27","day","Rubrik Q2 FY27 results","RBRK","持仓 / D6","m_rbrk_rev / m_rbrk_sub_arr","已发生（P1）","ir.rubrik.com","收入 $427.3M；Sub-ARR $1.66B"
"2026-08-27","day","Marvell FY27 Q2 results","MRVL","持仓 / D1","m_tail_mrvl","已发生（P1）","investor.marvell.com","DC $2.17B +46%"
"2026-09-01","day","DOJ 在 NYT v. OpenAI 提交 Statement of Interest（支持 fair use）","DOJ / S.D.N.Y.","D2","m_copyright_lit","已发生（P1）","法院文件 Doc. 316","非裁定"
