"kf_id","target_type","date","target","brief","watch","refs","owner","status","status_line","falsifier"
"kf001","event","2026-01-06","xAI Series E $20B 完成","前因：xAI 原定 $15B 的 Series E 超募至 $20B，投资方含 Valor、StepStone、Fidelity、QIA、MGX、Baron，NVIDIA 与 Cisco 作战略投资。关键数据：$20B；官方未披露估值，媒体口径 ~$230B，2026-02 SpaceX 合并案作价 xAI $250B。相关方：xAI、NVIDIA（供芯方兼股东）。后果：前沿 lab 融资总量是 neocloud 需求的领先读（2 跳，T3，只给方向）；NVIDIA 作战略投资方是「供芯方入股客户」结构的又一例。","融资形式（股 / 债）未披露；SpaceX 合并后 2026 年内未见独立新轮。","r: m_lab_funding_frontier xAI","B","draft","",""
"kf002","event","2026-01-13","BIS 新闻稿：对华半导体许可审查政策修订（H200 / MI325X case-by-case）","前因：美国对华先进算力出口从「推定拒绝」转为「逐案审查」，是 2026 年最大的 D7 regime 变化。关键数据：BIS 01-13 新闻稿，01-15 联邦公报最终规则生效（91 FR 1684）；同日总统 232 公告对相关芯片征 25% 从价关税。相关方：BIS、白宫、NVIDIA（H200）、AMD（MI325X）、中国买家。后果：对 NBIS 是 2 跳 regime 边（GPU 供给 / 成本），预警占优；注意 NVIDIA Q3 指引明确不含中国 DC compute 收入，说明放开尚未转成订单。措辞：官方文件是关税，不是「抽成 25% 收入」。","NVIDIA 何时把中国 DC compute 收入放回指引；BIS 后续许可批复节奏。","r: m_export_ctrl_bis ×3","B","draft","",""
"kf003","event","2026-01-15","Federal Register 最终规则生效：Revision to License Review Policy for Advanced Computing Commodities（91 FR 1684）","前因：01-13 BIS 新闻稿的法规落地。关键数据：FR Doc 2026-00789，RIN 0694-AK43，覆盖 H200 及同等与更低算力芯片。相关方：BIS。后果：与 01-13、01-14 三份文件构成一组，本条是法律效力起点；规则文本本身不含 25%，关税出处在白宫 232 公告。","同上。","r: m_export_ctrl_bis","B","draft","",""
"kf004","event","2026-01-26","NVIDIA 投资 CoreWeave $2B","前因：NVIDIA 以 $87.20/股 认购 CoreWeave Class A 普通股，深化 AI factory 合作。关键数据：$2B。相关方：NVIDIA（供芯方）、CoreWeave（NBIS 最直接同业）。后果：供芯方入股 neocloud 的第一例，两个月后 Nebius 得到同样的 $2B；这是「循环融资」论据从观点变成事实的起点，也让 CRWV 与 NBIS 的同业 read-through 更可比。","CRWV Q3 backlog 与 capex；NVIDIA 后续对 neocloud 的追加投资。","r: m_circular_financing CRWV","B","draft","",""
"kf005","event","2026-03-11","NVIDIA 投资 Nebius $2B","前因：NVIDIA 与 Nebius 宣布 full-stack AI cloud 合作，附带 $2B 投资，与 1 月投 CoreWeave 同款。关键数据：$2B；股价与持股比例未披露。相关方：NVIDIA（供芯方、股东，同时是 NBIS 客户 Reflection 的领投方）、Nebius。后果：这是 NBIS 循环融资敞口的一手证据（★★★ regime 边），此前体系里只有媒体观点级论据。它不改变 Q2 的「信念」regime，但把「需求真不真」的头号风险从假设变成需要量化的事实（C18）。","NBIS Q3 是否披露 NVIDIA 持股细节；客户预付与 NVIDIA 关联方占比。","r: m_circular_financing NBIS","B","draft","",""
"kf006","event","2026-03-31","OpenAI $122B 融资 @ $852B","前因：OpenAI 完成史上最大一级融资，SoftBank 与 a16z 共同领投，Amazon、Nvidia、Microsoft 参与，含约 $3B 个人投资者。关键数据：$122B，$852B post；其中 NVIDIA $30B（Huang 称「might be the last」）。相关方：OpenAI、SoftBank、a16z、NVIDIA。后果：三大 lab 2026 年融资合计 ≈$207B（计算值），是 neocloud 需求的资金侧领先读；但 OpenAI 非 NBIS 确认客户，只作方向（T3）。官方博客 403，本条为 P2。","8 月员工要约后是否有新一轮；NVIDIA 对 OpenAI 租约担保（上限 $105B）的落地。","r: m_lab_funding_frontier OpenAI","B","draft","",""
"kf007","event","2026-04-23","Reflection AI CEO 确认新一轮关闭（$25B pre-money）","前因：3 月 WSJ 报道 Reflection 拟募 $2.5B @ $25B pre，4 月 CEO 在 CNBC 确认已关闭。关键数据：$25B pre-money（CEO 口径 P2）；金额与领投方无一手。相关方：Reflection AI（ex-DeepMind，「American DeepSeek」，NBIS 已确认客户）。后果：NBIS 需求端最直接的客户拿到了钱，是 lab 融资 → 算力采购力 → NBIS 签约这条 T2 边的前半段；三个月后 7 月签 NBIS $1B 合同把后半段也证了一次。","二轮实际金额与领投方一手；Reflection 后续与 NBIS 的续约。","r: m_lab_funding_reflection","B","draft","",""
"kf008","event","2026-05-28","Anthropic Series H $65B @ $965B","前因：Anthropic 官方公告 Series H，Altimeter、Dragoneer、Greenoaks、Sequoia 领投，hyperscalers 出资 $15B 含 Amazon $5B。关键数据：$65B，$965B post，run-rate revenue >$47B。相关方：Anthropic、Amazon、上述基金。后果：前沿 lab 的收入规模已能支撑其算力采购，对 neocloud 需求是正向方向信号；同期 Anthropic 与 AMD 签最多 2GW MI450 合作，是 D3 资本 → D1 加速器的直接边（尾仓 AMD）。本条为官方一手 P1。","Anthropic 算力采购分配（AMD / NVIDIA / neocloud）；Lambda $35B 合约的 NVIDIA 担保结构。","r: m_lab_funding_frontier Anthropic; m_tail_amd","B","draft","",""
"kf009","event","2026-06-22","SuperX FY26 H1（截至 2025-12-31）6-K","前因：SuperX 是尾仓里唯一的中国 AI 服务器整机标的，基金 Q2 减仓 −46.95%。关键数据：六个月收入 $2.83M（+283.8%），净亏损 $76.1M，AI 基础设施板块报告期内无收入。相关方：SuperX、基金（13G 举牌 5.48% 含权证）。后果：AI 叙事尚未兑现收入，减仓与之一致；作为 D1 整机子节点的 tracker，它现在读不出算力周期，只读得出公司执行。","FY26 全年（截至 2026-06-30）是否出现 AI 基础设施收入。","r: m_tail_supx","B","draft","",""
"kf010","event","2026-06-24","Micron FY26 Q3 results","前因：存储超级周期，HBM4 对主要客户平台高量出货。关键数据：收入 $41.46B（上季 $23.86B，去年同期 $9.30B），GAAP GM 84.6%；Q4 指引 $50.0B ± $1.0B、GM ~86%。相关方：Micron、NVIDIA / hyperscalers（HBM 需求方）。后果：D1 HBM 子节点最硬的一手读数；基金 Q2 减仓 MU −47.36% 与基本面方向相反，说明 E5 轮动是主题迁移不是基本面转弱。","9-30 Q4 财报（唯一有公司公告的未来财报日）：HBM 表述与 FY27 指引。","r: m_tail_mu","B","draft","",""
"kf011","event","2026-07-14","Reflection AI ↔ Nebius $1B+ 算力合同","前因：Reflection 2025-10 融 $2B、2026-04 再关一轮后，7 月与 Nebius 签 $1B+ 算力合同（NVIDIA 算力）。关键数据：$1B+，multi-year。相关方：Reflection（客户）、Nebius、NVIDIA（供芯，同时是 Reflection 领投方与 Nebius 股东）。后果：lab 融资 → 算力采购 → NBIS 签约这条 T2 边被现实证过一次，从 2025-10 融资到签约 278 天，是假设 B3（lead 180d）的第一个校准点；同时三方关系也是循环融资的完整闭环样本。","NBIS Q3 backlog 中 Reflection 占比；Reflection 是否续签或扩容。","r: m_lab_contract_reflection_nbis","B","draft","",""
"kf012","event","2026-07-22","Alphabet Q2 2026 results（capex）","前因：hyperscaler capex 是全球 AI 在建强度的下游代理（C4）。关键数据：Q2 capex $44.9B（去年同期 $22.4B）；全年指引从 $180–190B 上调至 $195–205B。相关方：Alphabet。后果：四家 6 月季度合计 ≈$166B（计算值），供给端「猛建」的最强佐证；对 NBIS 是 3 跳 beta 边的上游，对中际旭创是直接客户需求。","10 月下旬 Q3 财报是否再次上调。","r: m_capex_googl","B","draft","",""
"kf013","event","2026-07-23","Intel Q2 2026 results","前因：Intel 在尾仓中是唯一 Q2 加仓的票（+63.37%）。关键数据：收入 $16.1B（+25%）；Foundry $5.8B（+31%，18A-P 进入风险量产）；DCAI $6.3B（+59%）；Q3 指引 $15.8–16.8B。相关方：Intel。后果：D1 CPU / 代工子节点；加仓与 Foundry 拐点一致，是 E5 轮动里少数「基本面 + 仓位同向」的例子。","18A 客户落地；Q3 是否达指引上沿。","r: m_tail_intc","B","draft","",""
"kf014","event","2026-07-29","MSFT FY26Q4 / META Q2 2026 results（capex）","前因：同日两家披露。关键数据：MSFT 现金 capex $35.8B（含融资租赁 $41B），FY27 同比增长，CY2026 ≈$175B；META Q2 $31.08B，全年指引收窄至 $130–145B。相关方：Microsoft、Meta。后果：与 Alphabet、Amazon 合计 ≈$166B；MSFT 指引口径含租赁调整，回归时须统一口径（C11 🟠）。","10 月下旬 Q3；MSFT 租赁口径变化是否再调整全年数。","r: m_capex_msft; m_capex_meta","B","draft","",""
"kf015","event","2026-07-30","Amazon Q2 2026 results（capex）","前因：Amazon 是四家里绝对额最大的。关键数据：PP&E 购置 $54.2B（电话会 cash capex $53.1B）；全年从 ≈$200B 上调至 ≈$220B。相关方：Amazon（同时是 Anthropic 股东，Series H 出资 $5B）。后果：供给端最大单一增量；Amazon 对 Anthropic 的股权与算力供给关系，是 hyperscaler 版本的「供给方入股需求方」。","Q3 财报；AWS 对 Anthropic 算力交付进度。","r: m_capex_amzn","B","draft","",""
